Mêda;21.7;16.1
Pinhel;22.5;16.7
Sabugal;18;13.8
Seia;64.3;50
Trancoso;30;23.3
Alcochete;99.3;150.9
Almada;2296.6;2543.1
Amadora;7375.5;7262
Barreiro;2466.9;2164.4
Cascais;1769.1;2201.9
Lisboa;6656.8;5467.4
Loures;1177;1211.8
Mafra;189.5;300.2
Moita;1233.1;1209.9
Montijo;116.5;162.2
Odivelas;5035.6;5612.4
Oeiras;3540.8;3744.5
Palmela;115.4;150.2
Seixal;1571.2;1756.9
Sesimbra;194.5;271
Setúbal;589.6;537.1
Sintra;1138.4;1212.9
Vila Franca de Xira;381.3;433.5
Alcácer do Sal;9.5;7.5
Grândola;18.2;16.9
Odemira;15.2;17.5
Santiago do Cacém;29.3;26.4
Sines;67.1;70.7
Aljustrel;22.9;19.4
Almodôvar;10.5;8.7
Alvito;10;8.7
Barrancos;11.4;9
Beja;31.2;29.3
Castro Verde;13.3;12.2
Cuba;28.8;25.6
Ferreira do Alentejo;13.9;12
Mértola;6.7;4.8
Moura;17.2;13.9
Ourique;9.3;7.3
Serpa;15.1;12.5
Vidigueira;19.5;16.5
Almeirim;99.1;100.1
Alpiarça;83;73.8
Azambuja;81.5;82.8
Benavente;44.7;58.1
Cartaxo;149.6;148.7
Chamusca;15.3;11.5
Coruche;19;15.7
Golegã;74.9;63.9
Rio Maior;77.9;78.3
Salvaterra de Magos;84.1;90.3
Santarém;113;107.5
Alter do Chão;10.9;8.6
Arronches;10.7;8.9
Avis;8.6;6.3
Campo Maior;34;32.7
Castelo de Vide;14.5;12.1
Crato;10.9;8.2
Elvas;37;32.9
Fronteira;15;11.9
Gavião;16.5;11.5
Marvão;26;19.7
Monforte;8.1;7.1
Nisa;14.9;10.3
Ponte de Sor;21.5;18.2
Portalegre;57.9;49.9
Sousel;20.6;15.8
Alandroal;12;9.3
Arraiolos;11.2;9.8
Borba;53.5;44.6
Estremoz;30.4;24.8
Évora;43.3;41.2
Montemor-O-Novo;15.1;13
Mora;13;9.5
Mourão;11.5;8.5
Portel;11.8;9.5
Redondo;19.8;17.1
Reguengos de Monsaraz;24.4;21.3
Vendas Novas;51.7;50.9
Viana do Alentejo;14.3;13.8
Vila Viçosa;45.4;38
Albufeira;226;316.7
Alcoutim;6.5;4.4
Aljezur;16.4;19
Castro Marim;22;21.7
Faro;288.4;335.3
Lagoa;233.3;271.4
Lagos;120.1;157.9
Loulé;77.9;95
Monchique;17.5;13.8
Olhão;315.1;342
Portimão;249;330.6
São Brás de Alportel;67;73.9
Silves;50;56
Tavira;41.1;45.5
Vila do Bispo;29.9;32.3
Vila Real de Santo António;290.3;309.3
Vila do Porto;57.6;56.3
Lagoa [R.A.A.];309.9;315
Nordeste;52.8;43.7
Ponta Delgada;283.1;290.5
Povoação;62.1;55.1
Ribeira Grande;158.8;175.7
Vila Franca do Campo;142.7;133
Angra do Heroísmo;148.9;141.9
Vila da Praia da Vitória;125.8;121.4
Santa Cruz da Graciosa;78.8;67.6
Calheta [R.A.A.];32.1;27.7
Velas;47.7;42.2
Lajes do Pico;32.4;28.2
Madalena;41.7;43.5
São Roque do Pico;25.4;22.9
Horta;87.1;83.4
Lajes das Flores;21.5;20.2
Santa Cruz das Flores;35.1;28.9
Corvo;24.8;23.4
Calheta [R.A.M.];108.1;98.4
Câmara de Lobos;669.4;619.7
Funchal;1377.3;1395.3
Machico;318.4;288
Ponta do Sol;174.3;182.3
Porto Moniz;35.3;30
Ribeira Brava;193;195.3
Santa Cruz;448.9;524.7
Santana;91.2;68.6
São Vicente;76.5;61.8
Porto Santo;112.7;121.5
