DICO,NOME,X,Y,Validada,Dens_pop_municipal_2001,Dens_pop_municipal_2021
"1706",MONTALEGRE,"28094","239455",Sim,,
"1709",RIBEIRA DE PENA,"27396","205764",Sim,,
"1702",BOTICAS,"38577","224417",Sim,,
"1713",VILA POUCA DE AGUIAR,"39669","203656",Sim,,
"0412",VINHAIS,"93747","241276",Sim,,
"1705",MONDIM DE BASTO,"14272","193562",Sim,,
"0305",CELORICO DE BASTO,"10254","190789",Sim,,
"0410",VILA FLOR,"81857","182405",Sim,,
"0408",MOGADOURO,"118154","186594",Sim,,
"0411",VIMIOSO,"133586","214024",Sim,,
"0409",TORRE DE MONCORVO,"89538","167825",Sim,,
"0914",VILA NOVA DE FOZ CÔA,"83612","157549",Sim,,
"1710",SABROSA,"46425","177633",Sim,,
"1801",ARMAMAR,"36569","160183",Sim,,
"1820",TAROUCA,"30031","149827",Sim,,
"1807",MOIMENTA DA BEIRA,"42990","145837",Sim,,
"1812",PENEDONO,"61696","146840",Sim,,
"1803",CASTRO DAIRE,"16143","136581",Sim,,
"1822",VILA NOVA DE PAIVA,"33156","131429",Sim,,
"0901",AGUIAR DA BEIRA,"49119","127800",Sim,,
"0909",MÊDA,"73441","144326",Sim,,
"1818",SERNANCELHE,"53270","136983",Sim,,
"0913",TRANCOSO,"65998","123549",Sim,,
"0902",ALMEIDA,"103253","118167",Sim,,
"0904",FIGUEIRA DE CASTELO RODRIGO,"97437","137109",Sim,,
"0903",CELORICO DA BEIRA,"61807","108156",Sim,,
"0905",FORNOS DE ALGODRES,"49367","106033",Sim,,
"1811",PENALVA DO CASTELO,"35951","111893",Sim,,
"1817",SATÃO,"33580","119413",Sim,,
"1802",CARREGAL DO SAL,"10583","84912",Sim,,
"0501",BELMONTE,"66269","76773",Sim,,
"0908",MANTEIGAS,"50063","81677",Sim,,
"0911",SABUGAL,"88589","76344",Sim,,
"0507",PENAMACOR,"81643","55972",Sim,,
"0612",PAMPILHOSA DA SERRA,"14896","42240",Sim,,
"0506",OLEIROS,"18452","27787",Sim,,
"0505",IDANHA-A-NOVA,"76045","28469",Sim,,
"1004",BATALHA,"-59766","-895",Sim,,
"0511",VILA VELHA DE RODÃO,"38285","-1119",Sim,,
"1417",SARDOAL,"-2702","-14938",Sim,,
"1212",NISA,"41574","-16676",Sim,,
"1206",CRATO,"41802","-42459",Sim,,
"1201",ALTER DO CHÃO,"40352","-51970",Sim,,
"1210",MARVÃO,"64838","-30167",Sim,,
"1205",CASTELO DE VIDE,"57684","-27747",Sim,,
"1209",GAVIÃO,"16735","-22593",Sim,,
"1407",CHAMUSCA,"-30217","-34714",Sim,,
"1412",GOLEGÃ,"-30491","-29546",Sim,,
"1406",CARTAXO,"-56576","-56166",Sim,,
"1104",CADAVAL,"-83989","-46765",Sim,,
"1402",ALCANENA,"-46504","-23272",Sim,,
"1108",LOURINHÃ,"-102228","-46716",Sim,,
"1005",BOMBARRAL,"-88890","-43929",Sim,,
"1101",ALENQUER,"-76254","-67854",Sim,,
