DICO;Nome;NOME_M;X;Y;Validada;Dens_pop_municipal_maiusculas_2001;Dens_pop_municipal_maiusculas_2021
1606;Esposende;ESPOSENDE;-53745;207090;Sim;349.8;372.3
311;Estarreja;ESTARREJA;-36812;120812;Sim;259.6;244.6
1305;Estremoz;ESTREMOZ;47132;-91491;Sim;30.4;24.8
1302;Évora;ÉVORA;18612;-122398;Sim;43.3;41.2
1704;Fafe;FAFE;-2877;197882;Sim;240.5;221.5
1813;Faro;FARO;17788;-293820;Sim;288.4;335.3
1804;Felgueiras;FELGUEIRAS;-5470;188512;Sim;498.2;482.5
106;Ferreira do Alentejo;FERREIRA DO ALENTEJO;529;-178699;Sim;13.9;12
104;Ferreira do Zêzere;FERREIRA DO ZÊZERE;-14468;2902;Sim;49.4;41.2
102;Figueira da Foz;FIGUEIRA DA FOZ;-61841;54118;Sim;165.1;156.6
118;Figueira de Castelo Rodrigo;FIGUEIRA DE CASTELO RODRIGO;97437;137109;Sim;14;10.1
112;Figueiró Dos Vinhos;FIGUEIRÓ DOS VINHOS;-12976;26026;Sim;42.1;30.5
117;Fornos de Algodres;FORNOS DE ALGODRES;49367;106033;Sim;42.6;33.8
1810;Freixo de Espada À Cinta;FREIXO DE ESPADA À CINTA;110518;159045;Sim;17;13.3
1816;Fronteira;FRONTEIRA;41486;-67800;Sim;15;11.9
1809;Fundão;FUNDÃO;53809;52350;Sim;44.8;38.1
1824;Gavião;GAVIÃO;16735;-22593;Sim;16.5;11.5
608;Góis;GÓIS;1926;54216;Sim;18.4;14.4
103;Golegã;GOLEGÃ;-30491;-29546;Sim;74.9;63.9
610;Gondomar;GONDOMAR;-33626;163890;Sim;1250.3;1253.1
615;Gouveia;GOUVEIA;45676;91777;Sim;53.4;40.8
604;Grândola;GRÂNDOLA;-38484;-165569;Sim;18.2;16.9
613;Guarda;GUARDA;73395;97474;Sim;61.5;56.5
617;Guimarães;GUIMARÃES;-13566;196986;Sim;660.1;651.1
607;Idanha-A-Nova;IDANHA-A-NOVA;76045;28469;Sim;8.2;5.9
614;Ílhavo;ÍLHAVO;-45334;103695;Sim;506.8;542
601;Lagoa;LAGOA (ALGARVE);-28402;-281190;Sim;;
1003;Lagos;LAGOS;-48310;-284936;Sim;120.1;157.9
509;Lamego;LAMEGO;27308;158604;Sim;169.4;147.1
510;Leiria;LEIRIA;-58020;8591;Sim;211.4;229.3
1610;Lisboa;LISBOA;-89311;-102834;Sim;6656.8;5467.4
1605;Loulé;LOULÉ;9812;-280698;Sim;77.9;95
1601;Loures;LOURES;-90221;-92664;Sim;1177;1211.8
1706;Lourinhã;LOURINHÃ;-102228;-46716;Sim;159.3;181.3
1709;Lousã;LOUSÃ;-9740;49262;Sim;114.3;123.6
1702;Lousada;LOUSADA;-12844;178722;Sim;465.5;495.2
1713;Mação;MAÇÃO;11530;-12633;Sim;21;16.1
412;Macedo de Cavaleiros;MACEDO DE CAVALEIROS;97658;208342;Sim;24.9;20.4
1705;Mafra;MAFRA;-103778;-80392;Sim;189.5;300.2
305;Maia;MAIA;-40845;173847;Sim;1450.8;1645.8
410;Mangualde;MANGUALDE;31190;104122;Sim;95.5;83.9
408;Manteigas;MANTEIGAS;50063;81677;Sim;33.4;24.3
411;Marco de Canaveses;MARCO DE CANAVESES;-1501;168541;Sim;259.8;245.9
409;Marinha Grande;MARINHA GRANDE;-68510;9464;Sim;192.7;210.6
914;Marvão;MARVÃO;64838;-30167;Sim;26;19.7
1710;Matosinhos;MATOSINHOS;-46697;168270;Sim;2704.6;2786.6
1801;Mealhada;MEALHADA;-26599;78750;Sim;187.4;176.1
1820;Mêda;MÊDA;73441;144326;Sim;21.7;16.1
1807;Melgaço;MELGAÇO;-10886;271718;Sim;41.9;32.5
1812;Mértola;MÉRTOLA;41174;-224832;Sim;6.7;4.8
1803;Mesão Frio;MESÃO FRIO;20152;165698;Sim;183.6;133
1822;Mira;MIRA;-51336;84514;Sim;103.5;98.5
