OLEIROS;14.2;10.4
PENAMACOR;11.8;8.5
PROENÇA-A-NOVA;24.2;18.1
VILA VELHA DE RÓDÃO;12.4;10.2
ABRANTES;58.9;48.1
ALCANENA;114.6;98.6
CONSTÂNCIA;47.8;47.3
ENTRONCAMENTO;1327.9;1497.7
FERREIRA DO ZÊZERE;49.4;41.2
MAÇÃO;21;16.1
OURÉM;111.1;108.1
SARDOAL;44.6;38.4
SERTÃ;37.4;33.3
TOMAR;121.9;104.2
TORRES NOVAS;137.1;127.2
VILA DE REI;17.6;17.4
VILA NOVA DA BARQUINHA;152.6;145.2
ALMEIDA;16.2;11.3
BELMONTE;63.7;52.1
CELORICO DA BEIRA;35.7;26.7
COVILHÃ;97.9;83.8
FIGUEIRA DE CASTELO RODRIGO;14;10.1
FORNOS DE ALGODRES;42.6;33.8
FUNDÃO;44.8;38.1
GOUVEIA;53.4;40.8
GUARDA;61.5;56.5
MANTEIGAS;33.4;24.3
MÊDA;21.7;16.1
PINHEL;22.5;16.7
SABUGAL;18;13.8
SEIA;64.3;50
TRANCOSO;30;23.3
ALCOCHETE;99.3;150.9
ALMADA;2296.6;2543.1
AMADORA;7375.5;7262
BARREIRO;2466.9;2164.4
CASCAIS;1769.1;2201.9
LISBOA;6656.8;5467.4
LOURES;1177;1211.8
MAFRA;189.5;300.2
MOITA;1233.1;1209.9
MONTIJO;116.5;162.2
ODIVELAS;5035.6;5612.4
OEIRAS;3540.8;3744.5
PALMELA;115.4;150.2
SEIXAL;1571.2;1756.9
SESIMBRA;194.5;271
SETÚBAL;589.6;537.1
SINTRA;1138.4;1212.9
VILA FRANCA DE XIRA;381.3;433.5
ALCÁCER DO SAL;9.5;7.5
GRÂNDOLA;18.2;16.9
ODEMIRA;15.2;17.5
SANTIAGO DO CACÉM;29.3;26.4
SINES;67.1;70.7
ALJUSTREL;22.9;19.4
ALMODÔVAR;10.5;8.7
ALVITO;10;8.7
BARRANCOS;11.4;9
BEJA;31.2;29.3
CASTRO VERDE;13.3;12.2
CUBA;28.8;25.6
FERREIRA DO ALENTEJO;13.9;12
MÉRTOLA;6.7;4.8
MOURA;17.2;13.9
OURIQUE;9.3;7.3
SERPA;15.1;12.5
VIDIGUEIRA;19.5;16.5
ALMEIRIM;99.1;100.1
ALPIARÇA;83;73.8
AZAMBUJA;81.5;82.8
BENAVENTE;44.7;58.1
CARTAXO;149.6;148.7
CHAMUSCA;15.3;11.5
CORUCHE;19;15.7
GOLEGÃ;74.9;63.9
RIO MAIOR;77.9;78.3
SALVATERRA DE MAGOS;84.1;90.3
SANTARÉM;113;107.5
ALTER DO CHÃO;10.9;8.6
ARRONCHES;10.7;8.9
AVIS;8.6;6.3
CAMPO MAIOR;34;32.7
CASTELO DE VIDE;14.5;12.1
CRATO;10.9;8.2
ELVAS;37;32.9
FRONTEIRA;15;11.9
GAVIÃO;16.5;11.5
MARVÃO;26;19.7
MONFORTE;8.1;7.1
NISA;14.9;10.3
PONTE DE SOR;21.5;18.2
PORTALEGRE;57.9;49.9
SOUSEL;20.6;15.8
ALANDROAL;12;9.3
ARRAIOLOS;11.2;9.8
BORBA;53.5;44.6
ESTREMOZ;30.4;24.8
ÉVORA;43.3;41.2
MONTEMOR-O-NOVO;15.1;13
MORA;13;9.5
MOURÃO;11.5;8.5
PORTEL;11.8;9.5
REDONDO;19.8;17.1
REGUENGOS DE MONSARAZ;24.4;21.3
VENDAS NOVAS;51.7;50.9
VIANA DO ALENTEJO;14.3;13.8
VILA VIÇOSA;45.4;38
ALBUFEIRA;226;316.7
ALCOUTIM;6.5;4.4
ALJEZUR;16.4;19
CASTRO MARIM;22;21.7
FARO;288.4;335.3
LAGOA;233.3;271.4
LAGOS;120.1;157.9
LOULÉ;77.9;95
MONCHIQUE;17.5;13.8
OLHÃO;315.1;342
PORTIMÃO;249;330.6
